id,name,description,address,city,country,stars,location,min_price
1,Tbilisi Grand Hotel,"Set in the heart of Tbilisi just steps from Freedom Square, Tbilisi Grand Hotel blends classic Georgian hospitality with modern comfort. The property features spacious rooms with views over the historic city center and a rooftop terrace perfect for evening relaxation. Guests can enjoy an on-site restaurant serving traditional Georgian cuisine alongside international favorites. The hotel is within walking distance of Rustaveli Avenue's shops, theaters, and museums. A dedicated concierge team is always on hand to help plan day trips into the surrounding wine regions.",13 Rustaveli Ave,Tbilisi,Georgia,5,"(44.8271,41.7151)",
2,Old Town Boutique Hotel,"Tucked away in the cobblestone streets of Tbilisi's Old Town, this boutique hotel offers an intimate and characterful stay surrounded by centuries-old architecture. Each room is individually decorated, combining traditional Georgian design elements with contemporary comforts. The hotel's courtyard cafe is a popular spot for breakfast among locals and travelers alike. Sulfur bathhouses, art galleries, and the Narikala Fortress cable car are all within a short stroll. It's an ideal base for guests who want to explore the city on foot.",14 Merab Kostava St,Tbilisi,Georgia,4,"(44.8015,41.6934)",
3,Batumi Beach Resort,"Overlooking the Black Sea, Batumi Beach Resort offers direct beach access and sweeping coastal views from nearly every room. The resort features an outdoor pool, a full-service spa, and several dining options ranging from casual beachside grills to fine dining. In the evenings, guests can stroll along Batumi's illuminated boulevard just outside the property. The resort is also a short drive from the botanical garden and the city's lively casino district. Families and couples alike will find plenty to enjoy both on-site and nearby.",1 Ninoshvili St,Batumi,Georgia,5,"(41.6338,41.6421)",
4,Black Sea Tower Hotel,"Rising above Batumi's skyline, Black Sea Tower Hotel offers panoramic sea views from its upper floors and a rooftop restaurant that's popular for sunset dining. The hotel combines modern architecture with warm, attentive service throughout. A fitness center and indoor pool are available year-round regardless of the coastal weather. Its central location puts guests within easy reach of Batumi's waterfront parks, shopping streets, and nightlife. This is a solid choice for travelers who want to be close to the action.",88 Rustaveli St,Batumi,Georgia,4,"(41.6295,41.6501)",
5,Dubai Marina Bay Hotel,"Located in the heart of Dubai Marina, this hotel places guests steps away from waterfront dining, boat tours, and the Marina Walk promenade. Floor-to-ceiling windows in every room showcase views of the marina skyline or the Arabian Gulf. The property includes an infinity pool, a spa, and multiple restaurants serving both Middle Eastern and international cuisine. It's a short taxi ride from Palm Jumeirah and the Dubai Marina Mall. The hotel is well suited to both business travelers and vacationers looking for a lively waterfront setting.",12 Marina Walk,Dubai,United Arab Emirates,5,"(55.1403,25.0805)",
6,Downtown Dubai Suites,"Downtown Dubai Suites sits within walking distance of the Burj Khalifa and the Dubai Mall, making it a prime choice for first-time visitors. Spacious suites include kitchenettes, making longer stays comfortable and convenient. The rooftop lounge offers unobstructed views of the Dubai Fountain show each evening. Guests also have access to a well-equipped gym and a quiet spa floor away from the city buzz. Its central location makes exploring the rest of the city simple via the nearby metro station.",1 Sheikh Mohammed bin Rashid Blvd,Dubai,United Arab Emirates,5,"(55.2744,25.1972)",
7,Corniche Abu Dhabi Hotel,"Facing the Corniche waterfront, this hotel offers guests a relaxed seaside setting just minutes from Abu Dhabi's business district. Rooms are designed with a calm, contemporary palette and many open onto private balconies overlooking the Gulf. The hotel's beach club and outdoor pool are popular gathering spots throughout the year. Nearby attractions include the Corniche public beach, several waterfront cafes, and easy access to Saadiyat Island's museums. It's a comfortable base for both leisure and business travelers.",5 Corniche Rd,Abu Dhabi,United Arab Emirates,5,"(54.3376,24.4667)",
8,Abu Dhabi Palm Resort,"Set within landscaped gardens near the coast, Abu Dhabi Palm Resort offers a quieter, resort-style alternative to the city center. The property spans several low-rise buildings connected by palm-lined walkways, with multiple pools and a private beach area. On-site dining includes a seafood restaurant and a poolside grill. Families will appreciate the kids' club and the resort's spacious rooms designed for longer stays. It's a short drive from Yas Island's theme parks and entertainment venues.",20 Al Saadiyat St,Abu Dhabi,United Arab Emirates,5,"(54.4728,24.418)",
9,Shinjuku Central Hotel,"Located just minutes from Shinjuku Station, this hotel puts guests at the center of one of Tokyo's busiest and most exciting districts. Rooms are compact but thoughtfully designed in typical Tokyo style, with large windows overlooking the neon-lit streets below. The hotel's top-floor bar offers sweeping views across the city skyline at night. Guests are within walking distance of Shinjuku Gyoen park, countless restaurants, and the area's famous nightlife. It's an ideal base for travelers who want to experience Tokyo's energy firsthand.",3-1 Nishi-Shinjuku,Tokyo,Japan,4,"(139.7034,35.6938)",
10,Tokyo Bay View Hotel,"Overlooking Tokyo Bay near the Odaiba waterfront, this hotel offers a calmer alternative to the city's busier central districts while still being well connected by train. Many rooms feature views of the bay and, on clear days, the Rainbow Bridge in the distance. The hotel includes a spa, an indoor pool, and a restaurant specializing in fresh seafood. Odaiba's shopping malls, museums, and seaside park are all within easy walking distance. It's a good choice for guests seeking a relaxed stay with easy access to central Tokyo.",2-1 Daiba,Tokyo,Japan,5,"(139.7825,35.6762)",
11,Namba Heritage Hotel,"Set in Osaka's lively Namba district, this hotel occupies a beautifully restored early-20th-century building filled with period details. Rooms combine historic charm with modern amenities, and many overlook the bustling streets below. The hotel is within walking distance of Dotonbori's famous canal-side restaurants and neon signage. Guests interested in local history will appreciate the small in-house exhibit on the building's past. It's a memorable base for exploring Osaka's food and entertainment scene on foot.",1-2 Namba,Osaka,Japan,3,"(135.5013,34.6627)",
12,Osaka Castle View Hotel,"As the name suggests, many rooms at this hotel offer direct views of Osaka Castle and its surrounding park. The property is quieter than hotels in the Namba or Umeda districts while remaining well connected by train. An on-site restaurant serves seasonal Kansai cuisine, and a small rooftop garden offers a peaceful spot to unwind. The castle grounds are ideal for a morning walk before exploring the rest of the city. This hotel suits travelers who prefer a more relaxed, scenic home base.",4-1 Osakajo,Osaka,Japan,4,"(135.5259,34.6873)",
