id,hotel_id,room_id,amenity_id
1,1,,1
2,1,,3
3,1,,4
4,1,,6
5,1,,8
6,2,,1
7,2,,4
8,2,,8
9,2,,15
10,3,,1
11,3,,2
12,3,,3
13,3,,4
14,3,,6
15,3,,12
16,4,,1
17,4,,2
18,4,,8
19,4,,12
20,5,,1
21,5,,2
22,5,,7
23,5,,8
24,5,,12
25,6,,1
26,6,,6
27,6,,8
28,6,,9
29,7,,1
30,7,,2
31,7,,4
32,7,,12
33,8,,1
34,8,,2
35,8,,7
36,8,,10
37,9,,1
38,9,,8
39,9,,9
40,10,,1
41,10,,2
42,10,,7
43,10,,12
44,11,,1
45,11,,4
46,11,,8
47,12,,1
48,12,,3
49,12,,4
50,,1,5
51,,1,15
52,,2,5
53,,2,15
54,,2,11
55,,3,5
56,,3,15
57,,3,11
58,,3,14
59,,4,5
60,,4,15
61,,5,5
62,,5,15
63,,5,11
64,,6,5
65,,6,15
66,,6,11
67,,6,14
68,,7,5
69,,7,15
70,,8,5
71,,8,15
72,,8,11
73,,8,12
74,,9,5
75,,9,15
76,,9,11
77,,9,14
78,,9,12
79,,10,5
80,,10,15
81,,11,5
82,,11,15
83,,11,11
84,,11,12
85,,12,5
86,,12,15
87,,12,11
88,,12,14
89,,12,12
90,,13,5
91,,13,15
92,,14,5
93,,14,15
94,,14,11
95,,14,12
96,,15,5
97,,15,15
98,,15,11
99,,15,14
100,,15,12
101,,16,5
102,,16,15
103,,17,5
104,,17,15
105,,17,11
106,,18,5
107,,18,15
108,,18,11
109,,18,14
110,,19,5
111,,19,15
112,,20,5
113,,20,15
114,,20,11
115,,20,12
116,,21,5
117,,21,15
118,,21,11
119,,21,14
120,,21,12
121,,22,5
122,,22,15
123,,23,5
124,,23,15
125,,23,11
126,,24,5
127,,24,15
128,,24,11
129,,24,14
130,,25,5
131,,25,15
132,,26,5
133,,26,15
134,,26,11
135,,27,5
136,,27,15
137,,27,11
138,,27,14
139,,28,5
140,,28,15
141,,29,5
142,,29,15
143,,29,11
144,,29,12
145,,30,5
146,,30,15
147,,30,11
148,,30,14
149,,30,12
150,,31,5
151,,31,15
152,,32,5
153,,32,15
154,,32,11
155,,33,5
156,,33,15
157,,33,11
158,,33,14
159,,34,5
160,,34,15
161,,35,5
162,,35,15
163,,35,11
164,,36,5
165,,36,15
166,,36,11
167,,36,14
